AORUS 5 KE4;02.мар;15.июн;16;3200;03.май;99;27.апр;1000;240
AORUS 15 XE4;02.апр;15.июн;16;3200;02.мар;99;27;1000;165
AORUS 17G KD;02.июл;17.мар;16;3200;02.мар;99;26;512;300
ASUS Vivobook Pro 16X OLED N7600PC-L2012W;янв.95;16;16;3200;03.янв;96;18.сен;512;60
ASUS VivoBook X415EA-EB1529W;янв.55;14;8;3200;02.апр;37;19.сен;256;60
ASUS ROG Strix G17 G713IM-HX055W;02.июл;17.мар;16;3200;02.сен;90;28.мар;512;144
ASUS TUF Dash F15 FX516PC-HN558;2;15.июн;8;3200;03.янв;76;19.сен;512;144
ASUS ROG Strix G15 G513QR-HF010W;02.мар;15.июн;16;3200;03.фев;90;27.фев;1000;300
ASUS VivoBook 15 OLED K513EA-L12252W;01.авг;15.июн;8;3200;02.апр;42;17.сен;256;60
ASUS VivoBook Pro 14 K3400PA-KM043W;01.апр;14;8;3200;03.янв;63;19.мар;512;90
ASUS ZenBook 14 UX5400EA-KN198W;01.апр;14;16;4267;02.апр;63;16.сен;512;60
ASUS ROG Zephyrus G14 GA402RJ-L4067W;янв.65;14;16;4800;03.фев;76;18.май;512;144
ASUS ZenBook Flip S13 OLED UX371EA-HL152T;01.фев;13.мар;8;4267;02.апр;67;13.сен;512;60
ASUS ProArt StudioBook 16 OLED H5600QM-L2209W;02.апр;16;16;3200;03.фев;90;19.сен;1000;60
Acer Nitro 5 AN515-57-548J;02.мар;15.июн;16;3200;02.июл;58;23.сен;512;144
Acer Aspire 7 A715-75G-701Q;фев.15;15.июн;16;2666;02.июн;59;23;512;60
Acer Aspire 7 A715-42G-R44J;фев.15;15.июн;8;3200;02.янв;48;22.сен;512;144
Acer Extensa 15 EX215-31-P5VU;01.сен;15.июн;8;2133;01.янв;37;19.сен;256;60
Acer Spin 1 SP114-31-P0GX;01.май;14;4;2666;01.янв;36.7;18.сен;128;60
Acer TravelMate P2 TMP215-53-5480;01.авг;15.июн;8;3200;02.апр;48;19.сен;256;60
Acer Predator Triton 300 SE PT314-51s-70Q6;01.июл;14;16;3200;03.мар;60;17.сен;1000;144
Acer Nitro 5 AN515-45-R167;02.апр;15.июн;8;3200;03.мар;57;23.сен;512;144
Acer Swift 3 SF314-43-R29N;янв.19;14;16;4267;02.янв;48;15.95;512;60
Acer Predator Helios 300 PH315-54-59X0;02.мар;15.июн;16;3200;02.июл;59;23;512;144
Acer Predator Helios 500 PH517-52-95JM;03.сен;17.мар;32;3200;03.мар;74;35.3;2000;120
Alienware M15 R5;фев.42;15.июн;16;3200;03.фев;86;22.85;1000;165
Alienware M15 R6;фев.42;15.июн;16;3200;02.мар;86;22.85;1000;165
Alienware x15 R1;фев.27;15.июн;32;3200;02.мар;86;16.мар;1000;165
Dell G515-9901;фев.44;15.июн;8;3200;03.мар;56;23.33;512;120
Dell Inspiron 5415-7265;янв.44;14;8;3200;02.янв;54;17.99;256;60
Dell Vostro 5402-5521;янв.36;14;8;3200;02.апр;40;17.сен;256;60
Dell Vostro 3510;янв.69;15.июн;8;2666;02.авг;41;18.сен;512;60
Dell Inspiron 5510;янв.75;15.июн;8;3200;03.мар;54;17.99;512;60
Dell Latitude 5421;янв.49;14;16;3200;02.июл;63;24;256;60
Dell XPS 13 9310-2569;янв.27;13.апр;16;4267;3;52;16;512;60
Dell Latitude 9420;01.апр;14;32;4267;3;60;13.91;1000;60
Dell G515-0533;фев.44;15.июн;8;2933;02.апр;56;23.33;512;120
GIGABYTE G5 KE;янв.99;15.июн;16;3200;02.май;48.96;23.сен;512;144
GIGABYTE AERO 17 XE5;02.июн;17.мар;16;4800;02.мар;99;23.апр;2000;120
GIGABYTE A5 X1;02.дек;15.июн;16;3200;03.мар;48.96;34.4;512;240
GIGABYTE AERO 15 OLED XD;2;15.июн;16;3200;02.мар;99;20;1000;60
GIGABYTE A7 X1-CRU1130SH;фев.48;17.мар;16;3200;03.мар;48.96;34.4;512;144
Honor MagicBook X 14 NBR-WAH9;янв.38;14;8;2666;01.июн;56;15.сен;512;60
Honor MagicBook 16 HYM-W56;янв.84;16.янв;16;3200;03.мар;56;18.фев;512;60
Honor MagicBook View 14 HGE-W7651T;янв.48;14.фев;16;4267;03.апр;60;15.авг;512;90
Honor MagicBook Pro HBB-WAH9PHNL;01.июл;16.янв;16;2400;01.июн;56;16.сен;512;60
HP OMEN 16-c0114nw;фев.36;16.янв;16;3200;03.фев;83;23;512;144
HP Laptop 17-cp0138ur;02.июл;17.мар;16;3200;01.авг;41;19.сен;1000;60
HP 255 G8;янв.74;15.июн;8;3200;02.янв;41;19.сен;256;60
HP Victus 16-e0154nw;фев.46;16.янв;16;3200;03.мар;70;23.май;512;144
HP Probook 455 G8;янв.74;15.июн;8;3200;02.мар;45;19.сен;256;60
HP Pavilion 15-eh1002ur;янв.75;15.июн;16;3200;01.авг;41;17.сен;512;60
HP Pavilion Gaming 17-cd2043ur;фев.75;17.мар;8;3200;02.июн;52.5;25;512;144
HP ENVY 13-ba1025ur;янв.32;13.мар;16;3200;02.авг;51;17;512;60
HP Envy x360 Convert 15-es0021ur;янв.82;15.июн;16;3200;02.авг;51;18.апр;512;60
HP Pavilion Aero 13-be0004ur;1;13.мар;16;3200;01.сен;43;16.сен;1000;60
HP Elite Dragonfly x360 G2;0.99;13.мар;16;4267;02.авг;56;16.янв;512;60
HP EliteBook 845 G8;янв.37;14;16;3200;02.мар;53;17.сен;512;60
HUAWEI MateBook D 15 BoM-WFQ9;янв.56;15.июн;16;3200;02.янв;42;16.сен;512;60
HUAWEI MateBook 16 CurieM-WFD9AW;янв.99;16;16;3200;03.фев;84;17.авг;512;60
UAWEI MateBook X Pro MRGF-X;янв.26;14.фев;16;4800;02.янв;60;15.май;1000;90
HUAWEI MateBook 14S HKD-W76;янв.43;14.фев;16;4267;03.мар;60;16.июл;1000;90
HUAWEI MateBook B3-420;янв.38;14;8;3200;02.апр;56;15.сен;512;60
LG Gram 14;0.999;14;8;3733;02.апр;68;16.авг;512;60
MSI GF76 Katana 11UE-269XRU;02.июн;17.мар;16;3200;02.мар;53.5;25.фев;512;144
MSI Vector GP76 12UGSO-858XRU;02.сен;17.мар;16;4800;02.мар;65;25.сен;1000;144
MSI Modern 15 B5M-001XRU;янв.75;15.июн;8;3200;02.мар;39;19.99;256;60
MSI GE77 HX Raider 12UGS-084RU;02.сен;17.мар;32;4800;03.авг;99.9;25.сен;1000;240
MSI Stealth 15M B12UE-011RU;01.авг;15.июн;16;3200;01.авг;53.8;17;1000;144
MSI Prestige 14 A12SC-246RU;янв.29;14;16;4267;01.июл;52;15.сен;512;60
MSI Summit E13 Flip Evo A12MT-060RU;янв.35;13.апр;16;4800;01.июл;70;14.сен;1000;120
Lenovo IdeaPad Gaming 3 15ACH6;фев.25;15.июн;8;3200;03.мар;45;24.фев;512;60
Lenovo Legion 7 16ACHG6;02.май;16;16;3200;03.фев;80;23.май;1000;165
Lenovo Legion 5 Pro 16ACH6H;фев.45;16;16;3200;03.мар;80;26.85;1000;165
Lenovo ThinkBook 15 G3 ACL;01.июл;15.июн;16;3200;02.янв;45;18.сен;512;60
